8,307.000,130.000,3504.000,12.000,70,1,18.000
8,350.000,165.000,3693.000,11.500,70,1,15.000
8,318.000,150.000,3436.000,11.000,70,1,18.000
8,304.000,150.000,3433.000,12.000,70,1,16.000
8,302.000,140.000,3449.000,10.500,70,1,17.000
8,429.000,198.000,4341.000,10.000,70,1,15.000
8,454.000,220.000,4354.000,9.000,70,1,14.000
8,440.000,215.000,4312.000,8.500,70,1,14.000
8,455.000,225.000,4425.000,10.000,70,1,14.000
8,390.000,190.000,3850.000,8.500,70,1,15.000
8,383.000,170.000,3563.000,10.000,70,1,15.000
8,340.000,160.000,3609.000,8.000,70,1,14.000
8,400.000,150.000,3761.000,9.500,70,1,15.000
8,455.000,225.000,3086.000,10.000,70,1,14.000
4,113.000,95.000,2372.000,15.000,70,3,24.000
6,198.000,95.000,2833.000,15.500,70,1,22.000
6,199.000,97.000,2774.000,15.500,70,1,18.000
6,200.000,85.000,2587.000,16.000,70,1,21.000

